AXIS_ORDINATE_ID,IS_ABSTRACT_HEADER,CODE,ORDER,LEVEL,PATH,AXIS_ID,PARENT_AXIS_ORDINATE_ID,NAME,DESCRIPTION
AE_REF_F_32_01_REF_AE 3_2_1_0105,,0105,,,AE_REF_F_32.01_REF_AE 3.2_1_0090.AE_REF_F_32.01_REF_AE 3.2_1_0105.,AE_REF_F_32_01_REF_AE 3_2_1,,Of which: EHQLA and HQLA,
AE_REF_F_32_01_REF_AE 3_2_2_0010,,0010,,,AE_REF_F_32.01_REF_AE 3.2_2_0010.,AE_REF_F_32_01_REF_AE 3_2_2,,Assets of the reporting institution,
AE_REF_F_32_01_REF_AE 3_2_2_0015,,0015,,,AE_REF_F_32.01_REF_AE 3.2_2_0010.AE_REF_F_32.01_REF_AE 3.2_2_0015.,AE_REF_F_32_01_REF_AE 3_2_2,,Of which: qualifying fiduciary assets,
AE_REF_F_32_01_REF_AE 3_2_2_0020,,0020,,,AE_REF_F_32.01_REF_AE 3.2_2_0010.AE_REF_F_32.01_REF_AE 3.2_2_0020.,AE_REF_F_32_01_REF_AE 3_2_2,,Loans on demand,
AE_REF_F_32_01_REF_AE 3_2_2_0030,,0030,,,AE_REF_F_32.01_REF_AE 3.2_2_0010.AE_REF_F_32.01_REF_AE 3.2_2_0030.,AE_REF_F_32_01_REF_AE 3_2_2,,Equity instruments,
AE_REF_F_32_01_REF_AE 3_2_2_0040,,0040,,,AE_REF_F_32.01_REF_AE 3.2_2_0010.AE_REF_F_32.01_REF_AE 3.2_2_0040.,AE_REF_F_32_01_REF_AE 3_2_2,,Debt securities,
AE_REF_F_32_01_REF_AE 3_2_2_0050,,0050,,,AE_REF_F_32.01_REF_AE 3.2_2_0010.AE_REF_F_32.01_REF_AE 3.2_2_0040.AE_REF_F_32.01_REF_AE 3.2_2_0050.,AE_REF_F_32_01_REF_AE 3_2_2,,Of which: covered bonds,
AE_REF_F_32_01_REF_AE 3_2_2_0060,,0060,,,AE_REF_F_32.01_REF_AE 3.2_2_0010.AE_REF_F_32.01_REF_AE 3.2_2_0040.AE_REF_F_32.01_REF_AE 3.2_2_0060.,AE_REF_F_32_01_REF_AE 3_2_2,,Of which: securitisations,
AE_REF_F_32_01_REF_AE 3_2_2_0070,,0070,,,AE_REF_F_32.01_REF_AE 3.2_2_0010.AE_REF_F_32.01_REF_AE 3.2_2_0040.AE_REF_F_32.01_REF_AE 3.2_2_0070.,AE_REF_F_32_01_REF_AE 3_2_2,,Of which: issued by general governments,
AE_REF_F_32_01_REF_AE 3_2_2_0080,,0080,,,AE_REF_F_32.01_REF_AE 3.2_2_0010.AE_REF_F_32.01_REF_AE 3.2_2_0040.AE_REF_F_32.01_REF_AE 3.2_2_0080.,AE_REF_F_32_01_REF_AE 3_2_2,,Of which: issued by financial corporations,
AE_REF_F_32_01_REF_AE 3_2_2_0090,,0090,,,AE_REF_F_32.01_REF_AE 3.2_2_0010.AE_REF_F_32.01_REF_AE 3.2_2_0040.AE_REF_F_32.01_REF_AE 3.2_2_0090.,AE_REF_F_32_01_REF_AE 3_2_2,,Of which: issued by non-financial corporations,
AE_REF_F_32_01_REF_AE 3_2_2_0100,,0100,,,AE_REF_F_32.01_REF_AE 3.2_2_0010.AE_REF_F_32.01_REF_AE 3.2_2_0100.,AE_REF_F_32_01_REF_AE 3_2_2,,Loans and advances other than loans on demand,
AE_REF_F_32_01_REF_AE 3_2_2_0110,,0110,,,AE_REF_F_32.01_REF_AE 3.2_2_0010.AE_REF_F_32.01_REF_AE 3.2_2_0100.AE_REF_F_32.01_REF_AE 3.2_2_0110.,AE_REF_F_32_01_REF_AE 3_2_2,,Of which: loans collateralised with immovable property,
AE_REF_F_32_01_REF_AE 3_2_2_0120,,0120,,,AE_REF_F_32.01_REF_AE 3.2_2_0010.AE_REF_F_32.01_REF_AE 3.2_2_0120.,AE_REF_F_32_01_REF_AE 3_2_2,,Other assets,
AE_REF_F_32_02_a_REF_AE 3_2_1_0010,,0010,,,AE_REF_F_32.02.a_REF_AE 3.2_1_0010.,AE_REF_F_32_02_a_REF_AE 3_2_1,,Fair value of encumbered collateral received or own debt securities issued,
AE_REF_F_32_02_a_REF_AE 3_2_1_0020,,0020,,,AE_REF_F_32.02.a_REF_AE 3.2_1_0010.AE_REF_F_32.02.a_REF_AE 3.2_1_0020.,AE_REF_F_32_02_a_REF_AE 3_2_1,,Of which: issued by other entities of the group,
AE_REF_F_32_02_a_REF_AE 3_2_1_0030,,0030,,,AE_REF_F_32.02.a_REF_AE 3.2_1_0010.AE_REF_F_32.02.a_REF_AE 3.2_1_0030.,AE_REF_F_32_02_a_REF_AE 3_2_1,,Of which: central bank's eligible,
AE_REF_F_32_02_a_REF_AE 3_2_1_0035,,0035,,,AE_REF_F_32.02.a_REF_AE 3.2_1_0010.AE_REF_F_32.02.a_REF_AE 3.2_1_0035.,AE_REF_F_32_02_a_REF_AE 3_2_1,,Of which notionally eligible EHQLA and HQLA,
AE_REF_F_32_02_a_REF_AE 3_2_1_0039,,0039,,,AE_REF_F_32.02.a_REF_AE 3.2_1_0039.,AE_REF_F_32_02_a_REF_AE 3_2_1,,Non-encumbered,
AE_REF_F_32_02_a_REF_AE 3_2_1_0040,,0040,,,AE_REF_F_32.02.a_REF_AE 3.2_1_0039.AE_REF_F_32.02.a_REF_AE 3.2_1_0040.,AE_REF_F_32_02_a_REF_AE 3_2_1,,Fair value of collateral received or own debt securities issued available for encumbrance,
AE_REF_F_32_02_a_REF_AE 3_2_1_0050,,0050,,,AE_REF_F_32.02.a_REF_AE 3.2_1_0039.AE_REF_F_32.02.a_REF_AE 3.2_1_0040.AE_REF_F_32.02.a_REF_AE 3.2_1_0050.,AE_REF_F_32_02_a_REF_AE 3_2_1,,Of which: issued by other entities of the group,
AE_REF_F_32_02_a_REF_AE 3_2_1_0060,,0060,,,AE_REF_F_32.02.a_REF_AE 3.2_1_0039.AE_REF_F_32.02.a_REF_AE 3.2_1_0040.AE_REF_F_32.02.a_REF_AE 3.2_1_0060.,AE_REF_F_32_02_a_REF_AE 3_2_1,,Of which: central bank's eligible,
AE_REF_F_32_02_a_REF_AE 3_2_1_0065,,0065,,,AE_REF_F_32.02.a_REF_AE 3.2_1_0039.AE_REF_F_32.02.a_REF_AE 3.2_1_0040.AE_REF_F_32.02.a_REF_AE 3.2_1_0065.,AE_REF_F_32_02_a_REF_AE 3_2_1,,Of which EHQLA and HQLA,
AE_REF_F_32_02_a_REF_AE 3_2_1_0070,,0070,,,AE_REF_F_32.02.a_REF_AE 3.2_1_0039.AE_REF_F_32.02.a_REF_AE 3.2_1_0070.,AE_REF_F_32_02_a_REF_AE 3_2_1,,Nominal of collateral received or own debt securities issued non available for encumbrance,
AE_REF_F_32_02_a_REF_AE 3_2_2_0130,,0130,,,AE_REF_F_32.02.a_REF_AE 3.2_2_0130.,AE_REF_F_32_02_a_REF_AE 3_2_2,,Collateral received by the reporting institution,
AE_REF_F_32_02_a_REF_AE 3_2_2_0140,,0140,,,AE_REF_F_32.02.a_REF_AE 3.2_2_0130.AE_REF_F_32.02.a_REF_AE 3.2_2_0140.,AE_REF_F_32_02_a_REF_AE 3_2_2,,Loans on demand,
AE_REF_F_32_02_a_REF_AE 3_2_2_0150,,0150,,,AE_REF_F_32.02.a_REF_AE 3.2_2_0130.AE_REF_F_32.02.a_REF_AE 3.2_2_0150.,AE_REF_F_32_02_a_REF_AE 3_2_2,,Equity instruments,
AE_REF_F_32_02_a_REF_AE 3_2_2_0160,,0160,,,AE_REF_F_32.02.a_REF_AE 3.2_2_0130.AE_REF_F_32.02.a_REF_AE 3.2_2_0160.,AE_REF_F_32_02_a_REF_AE 3_2_2,,Debt securities,
AE_REF_F_32_02_a_REF_AE 3_2_2_0170,,0170,,,AE_REF_F_32.02.a_REF_AE 3.2_2_0130.AE_REF_F_32.02.a_REF_AE 3.2_2_0160.AE_REF_F_32.02.a_REF_AE 3.2_2_0170.,AE_REF_F_32_02_a_REF_AE 3_2_2,,Of which: covered bonds,
AE_REF_F_32_02_a_REF_AE 3_2_2_0180,,0180,,,AE_REF_F_32.02.a_REF_AE 3.2_2_0130.AE_REF_F_32.02.a_REF_AE 3.2_2_0160.AE_REF_F_32.02.a_REF_AE 3.2_2_0180.,AE_REF_F_32_02_a_REF_AE 3_2_2,,Of which: securitisations,
AE_REF_F_32_02_a_REF_AE 3_2_2_0190,,0190,,,AE_REF_F_32.02.a_REF_AE 3.2_2_0130.AE_REF_F_32.02.a_REF_AE 3.2_2_0160.AE_REF_F_32.02.a_REF_AE 3.2_2_0190.,AE_REF_F_32_02_a_REF_AE 3_2_2,,Of which: issued by general governments,
AE_REF_F_32_02_a_REF_AE 3_2_2_0200,,0200,,,AE_REF_F_32.02.a_REF_AE 3.2_2_0130.AE_REF_F_32.02.a_REF_AE 3.2_2_0160.AE_REF_F_32.02.a_REF_AE 3.2_2_0200.,AE_REF_F_32_02_a_REF_AE 3_2_2,,Of which: issued by financial corporations,
AE_REF_F_32_02_a_REF_AE 3_2_2_0210,,0210,,,AE_REF_F_32.02.a_REF_AE 3.2_2_0130.AE_REF_F_32.02.a_REF_AE 3.2_2_0160.AE_REF_F_32.02.a_REF_AE 3.2_2_0210.,AE_REF_F_32_02_a_REF_AE 3_2_2,,Of which: issued by non-financial corporations,
AE_REF_F_32_02_a_REF_AE 3_2_2_0220,,0220,,,AE_REF_F_32.02.a_REF_AE 3.2_2_0130.AE_REF_F_32.02.a_REF_AE 3.2_2_0220.,AE_REF_F_32_02_a_REF_AE 3_2_2,,Loans and advances other than loans on demand,
AE_REF_F_32_02_a_REF_AE 3_2_2_0230,,0230,,,AE_REF_F_32.02.a_REF_AE 3.2_2_0130.AE_REF_F_32.02.a_REF_AE 3.2_2_0230.,AE_REF_F_32_02_a_REF_AE 3_2_2,,Other collateral received,
AE_REF_F_32_02_a_REF_AE 3_2_2_0240,,0240,,,AE_REF_F_32.02.a_REF_AE 3.2_2_0240.,AE_REF_F_32_02_a_REF_AE 3_2_2,,Own debt securities issued other than own covered bonds or securitisations,
AE_REF_F_32_02_a_REF_AE 3_2_2_0245,,0245,,,AE_REF_F_32.02.a_REF_AE 3.2_2_0245.,AE_REF_F_32_02_a_REF_AE 3_2_2,,Own covered bonds and securitisation issued and not yet pledged,
AE_REF_F_32_02_b_REF_AE 3_2_1_0010,,0010,,,AE_REF_F_32.02.b_REF_AE 3.2_1_0010.,AE_REF_F_32_02_b_REF_AE 3_2_1,,Fair value of encumbered collateral received or own debt securities issued,
AE_REF_F_32_02_b_REF_AE 3_2_1_0020,,0020,,,AE_REF_F_32.02.b_REF_AE 3.2_1_0010.AE_REF_F_32.02.b_REF_AE 3.2_1_0020.,AE_REF_F_32_02_b_REF_AE 3_2_1,,Of which: issued by other entities of the group,
AE_REF_F_32_02_b_REF_AE 3_2_1_0030,,0030,,,AE_REF_F_32.02.b_REF_AE 3.2_1_0010.AE_REF_F_32.02.b_REF_AE 3.2_1_0030.,AE_REF_F_32_02_b_REF_AE 3_2_1,,Of which: central bank's eligible,
AE_REF_F_32_02_b_REF_AE 3_2_1_0035,,0035,,,AE_REF_F_32.02.b_REF_AE 3.2_1_0010.AE_REF_F_32.02.b_REF_AE 3.2_1_0035.,AE_REF_F_32_02_b_REF_AE 3_2_1,,Of which notionally eligible EHQLA and HQLA,
AE_REF_F_32_02_b_REF_AE 3_2_2_0250,,0250,,,AE_REF_F_32.02.b_REF_AE 3.2_2_0250.,AE_REF_F_32_02_b_REF_AE 3_2_2,,"TOTAL ASSETS, COLLATERAL RECEIVED AND OWN DEBT SECURITIES ISSUED",
AE_REF_F_32_03_a_REF_AE 3_2_1_0009,,0009,,,AE_REF_F_32.03.a_REF_AE 3.2_1_0009.,AE_REF_F_32_03_a_REF_AE 3_2_1,,Non-encumbered,
AE_REF_F_32_03_a_REF_AE 3_2_1_0010,,0010,,,AE_REF_F_32.03.a_REF_AE 3.2_1_0009.AE_REF_F_32.03.a_REF_AE 3.2_1_0010.,AE_REF_F_32_03_a_REF_AE 3_2_1,,Carrying amount of the underlying pool of assets,
AE_REF_F_32_03_a_REF_AE 3_2_2_0010,,0010,,,AE_REF_F_32.03.a_REF_AE 3.2_2_0010.,AE_REF_F_32_03_a_REF_AE 3_2_2,,Own covered bonds and securitisations issued and not yet pledged,
AE_REF_F_32_03_a_REF_AE 3_2_2_0020,,0020,,,AE_REF_F_32.03.a_REF_AE 3.2_2_0010.AE_REF_F_32.03.a_REF_AE 3.2_2_0020.,AE_REF_F_32_03_a_REF_AE 3_2_2,,Retained covered bonds issued,
AE_REF_F_32_03_a_REF_AE 3_2_2_0030,,0030,,,AE_REF_F_32.03.a_REF_AE 3.2_2_0010.AE_REF_F_32.03.a_REF_AE 3.2_2_0030.,AE_REF_F_32_03_a_REF_AE 3_2_2,,Retained securitisations issued,
AE_REF_F_32_03_a_REF_AE 3_2_2_0040,,0040,,,AE_REF_F_32.03.a_REF_AE 3.2_2_0010.AE_REF_F_32.03.a_REF_AE 3.2_2_0030.AE_REF_F_32.03.a_REF_AE 3.2_2_0040.,AE_REF_F_32_03_a_REF_AE 3_2_2,,Senior,
AE_REF_F_32_03_a_REF_AE 3_2_2_0050,,0050,,,AE_REF_F_32.03.a_REF_AE 3.2_2_0010.AE_REF_F_32.03.a_REF_AE 3.2_2_0030.AE_REF_F_32.03.a_REF_AE 3.2_2_0050.,AE_REF_F_32_03_a_REF_AE 3_2_2,,Mezzanine,
AE_REF_F_32_03_a_REF_AE 3_2_2_0060,,0060,,,AE_REF_F_32.03.a_REF_AE 3.2_2_0010.AE_REF_F_32.03.a_REF_AE 3.2_2_0030.AE_REF_F_32.03.a_REF_AE 3.2_2_0060.,AE_REF_F_32_03_a_REF_AE 3_2_2,,First Loss,
AE_REF_F_32_03_b_REF_AE 3_2_1_0009,,0009,,,AE_REF_F_32.03.b_REF_AE 3.2_1_0009.,AE_REF_F_32_03_b_REF_AE 3_2_1,,Non-encumbered,
AE_REF_F_32_03_b_REF_AE 3_2_1_0020,,0020,,,AE_REF_F_32.03.b_REF_AE 3.2_1_0009.AE_REF_F_32.03.b_REF_AE 3.2_1_0020.,AE_REF_F_32_03_b_REF_AE 3_2_1,,Fair value of debt securities issued available for encumbrance,
AE_REF_F_32_03_b_REF_AE 3_2_1_0030,,0030,,,AE_REF_F_32.03.b_REF_AE 3.2_1_0009.AE_REF_F_32.03.b_REF_AE 3.2_1_0020.AE_REF_F_32.03.b_REF_AE 3.2_1_0030.,AE_REF_F_32_03_b_REF_AE 3_2_1,,Of which: central bank's eligible,
AE_REF_F_32_03_b_REF_AE 3_2_1_0035,,0035,,,AE_REF_F_32.03.b_REF_AE 3.2_1_0009.AE_REF_F_32.03.b_REF_AE 3.2_1_0020.AE_REF_F_32.03.b_REF_AE 3.2_1_0035.,AE_REF_F_32_03_b_REF_AE 3_2_1,,Of which notionally eligible EHQLA and HQLA,
AE_REF_F_32_03_b_REF_AE 3_2_1_0040,,0040,,,AE_REF_F_32.03.b_REF_AE 3.2_1_0009.AE_REF_F_32.03.b_REF_AE 3.2_1_0040.,AE_REF_F_32_03_b_REF_AE 3_2_1,,Nominal of own debt securities issued non available for encumbrance,
AE_REF_F_32_03_b_REF_AE 3_2_2_0010,,0010,,,AE_REF_F_32.03.b_REF_AE 3.2_2_0010.,AE_REF_F_32_03_b_REF_AE 3_2_2,,Own covered bonds and securitisations issued and not yet pledged,
AE_REF_F_32_03_b_REF_AE 3_2_2_0020,,0020,,,AE_REF_F_32.03.b_REF_AE 3.2_2_0010.AE_REF_F_32.03.b_REF_AE 3.2_2_0020.,AE_REF_F_32_03_b_REF_AE 3_2_2,,Retained covered bonds issued,
AE_REF_F_32_03_b_REF_AE 3_2_2_0030,,0030,,,AE_REF_F_32.03.b_REF_AE 3.2_2_0010.AE_REF_F_32.03.b_REF_AE 3.2_2_0030.,AE_REF_F_32_03_b_REF_AE 3_2_2,,Retained securitisations issued,
AE_REF_F_32_03_b_REF_AE 3_2_2_0040,,0040,,,AE_REF_F_32.03.b_REF_AE 3.2_2_0010.AE_REF_F_32.03.b_REF_AE 3.2_2_0030.AE_REF_F_32.03.b_REF_AE 3.2_2_0040.,AE_REF_F_32_03_b_REF_AE 3_2_2,,Senior,
AE_REF_F_32_03_b_REF_AE 3_2_2_0050,,0050,,,AE_REF_F_32.03.b_REF_AE 3.2_2_0010.AE_REF_F_32.03.b_REF_AE 3.2_2_0030.AE_REF_F_32.03.b_REF_AE 3.2_2_0050.,AE_REF_F_32_03_b_REF_AE 3_2_2,,Mezzanine,
AE_REF_F_32_03_b_REF_AE 3_2_2_0060,,0060,,,AE_REF_F_32.03.b_REF_AE 3.2_2_0010.AE_REF_F_32.03.b_REF_AE 3.2_2_0030.AE_REF_F_32.03.b_REF_AE 3.2_2_0060.,AE_REF_F_32_03_b_REF_AE 3_2_2,,First Loss,
AE_REF_F_32_04_a_REF_AE 3_2_1_0010,,0010,,,AE_REF_F_32.04.a_REF_AE 3.2_1_0010.,AE_REF_F_32_04_a_REF_AE 3_2_1,,"Matching liabilities, contingent liabilities or securities lent",
AE_REF_F_32_04_a_REF_AE 3_2_1_0020,,0020,,,AE_REF_F_32.04.a_REF_AE 3.2_1_0010.AE_REF_F_32.04.a_REF_AE 3.2_1_0020.,AE_REF_F_32_04_a_REF_AE 3_2_1,,Of which: from other entities of the group,
AE_REF_F_32_04_a_REF_AE 3_2_2_0010,,0010,,,AE_REF_F_32.04.a_REF_AE 3.2_2_0010.,AE_REF_F_32_04_a_REF_AE 3_2_2,,Carrying amount of selected financial liabilities,
AE_REF_F_32_04_a_REF_AE 3_2_2_0020,,0020,,,AE_REF_F_32.04.a_REF_AE 3.2_2_0010.AE_REF_F_32.04.a_REF_AE 3.2_2_0020.,AE_REF_F_32_04_a_REF_AE 3_2_2,,Derivatives,
AE_REF_F_32_04_a_REF_AE 3_2_2_0030,,0030,,,AE_REF_F_32.04.a_REF_AE 3.2_2_0010.AE_REF_F_32.04.a_REF_AE 3.2_2_0020.AE_REF_F_32.04.a_REF_AE 3.2_2_0030.,AE_REF_F_32_04_a_REF_AE 3_2_2,,of which: Over-The-Counter,
AE_REF_F_32_04_a_REF_AE 3_2_2_0040,,0040,,,AE_REF_F_32.04.a_REF_AE 3.2_2_0010.AE_REF_F_32.04.a_REF_AE 3.2_2_0040.,AE_REF_F_32_04_a_REF_AE 3_2_2,,Deposits,
AE_REF_F_32_04_a_REF_AE 3_2_2_0050,,0050,,,AE_REF_F_32.04.a_REF_AE 3.2_2_0010.AE_REF_F_32.04.a_REF_AE 3.2_2_0040.AE_REF_F_32.04.a_REF_AE 3.2_2_0050.,AE_REF_F_32_04_a_REF_AE 3_2_2,,Repurchase agreements,
AE_REF_F_32_04_a_REF_AE 3_2_2_0060,,0060,,,AE_REF_F_32.04.a_REF_AE 3.2_2_0010.AE_REF_F_32.04.a_REF_AE 3.2_2_0040.AE_REF_F_32.04.a_REF_AE 3.2_2_0050.AE_REF_F_32.04.a_REF_AE 3.2_2_0060.,AE_REF_F_32_04_a_REF_AE 3_2_2,,Of which: central banks,
AE_REF_F_32_04_a_REF_AE 3_2_2_0070,,0070,,,AE_REF_F_32.04.a_REF_AE 3.2_2_0010.AE_REF_F_32.04.a_REF_AE 3.2_2_0040.AE_REF_F_32.04.a_REF_AE 3.2_2_0070.,AE_REF_F_32_04_a_REF_AE 3_2_2,,Collateralised deposits other than repurchase agreements,
AE_REF_F_32_04_a_REF_AE 3_2_2_0080,,0080,,,AE_REF_F_32.04.a_REF_AE 3.2_2_0010.AE_REF_F_32.04.a_REF_AE 3.2_2_0040.AE_REF_F_32.04.a_REF_AE 3.2_2_0070.AE_REF_F_32.04.a_REF_AE 3.2_2_0080.,AE_REF_F_32_04_a_REF_AE 3_2_2,,Of which: central banks,
AE_REF_F_32_04_a_REF_AE 3_2_2_0090,,0090,,,AE_REF_F_32.04.a_REF_AE 3.2_2_0010.AE_REF_F_32.04.a_REF_AE 3.2_2_0090.,AE_REF_F_32_04_a_REF_AE 3_2_2,,Debt securities issued,
AE_REF_F_32_04_a_REF_AE 3_2_2_0100,,0100,,,AE_REF_F_32.04.a_REF_AE 3.2_2_0010.AE_REF_F_32.04.a_REF_AE 3.2_2_0090.AE_REF_F_32.04.a_REF_AE 3.2_2_0100.,AE_REF_F_32_04_a_REF_AE 3_2_2,,Of which: covered bonds issued,
AE_REF_F_32_04_a_REF_AE 3_2_2_0110,,0110,,,AE_REF_F_32.04.a_REF_AE 3.2_2_0010.AE_REF_F_32.04.a_REF_AE 3.2_2_0090.AE_REF_F_32.04.a_REF_AE 3.2_2_0110.,AE_REF_F_32_04_a_REF_AE 3_2_2,,Of which: securitisations issued,
AE_REF_F_32_04_a_REF_AE 3_2_2_0120,,0120,,,AE_REF_F_32.04.a_REF_AE 3.2_2_0120.,AE_REF_F_32_04_a_REF_AE 3_2_2,,Other sources of encumbrance,
AE_REF_F_32_04_a_REF_AE 3_2_2_0130,,0130,,,AE_REF_F_32.04.a_REF_AE 3.2_2_0120.AE_REF_F_32.04.a_REF_AE 3.2_2_0130.,AE_REF_F_32_04_a_REF_AE 3_2_2,,Nominal of loan commitments received,
AE_REF_F_32_04_a_REF_AE 3_2_2_0140,,0140,,,AE_REF_F_32.04.a_REF_AE 3.2_2_0120.AE_REF_F_32.04.a_REF_AE 3.2_2_0140.,AE_REF_F_32_04_a_REF_AE 3_2_2,,Nominal of financial guarantees received,
AE_REF_F_32_04_a_REF_AE 3_2_2_0150,,0150,,,AE_REF_F_32.04.a_REF_AE 3.2_2_0120.AE_REF_F_32.04.a_REF_AE 3.2_2_0150.,AE_REF_F_32_04_a_REF_AE 3_2_2,,Fair value of securities borrowed with non cash-collateral,
AE_REF_F_32_04_a_REF_AE 3_2_2_0160,,0160,,,AE_REF_F_32.04.a_REF_AE 3.2_2_0120.AE_REF_F_32.04.a_REF_AE 3.2_2_0160.,AE_REF_F_32_04_a_REF_AE 3_2_2,,Other,
AE_REF_F_32_04_a_REF_AE 3_2_2_0170,,0170,,,AE_REF_F_32.04.a_REF_AE 3.2_2_0170.,AE_REF_F_32_04_a_REF_AE 3_2_2,,TOTAL SOURCES OF ENCUMBRANCE,
AE_REF_F_32_04_b_REF_AE 3_2_1_0030,,0030,,,AE_REF_F_32.04.b_REF_AE 3.2_1_0030.,AE_REF_F_32_04_b_REF_AE 3_2_1,,"Assets, collateral received and own debt securities issued other than covered bonds and securitisations encumbered",
AE_REF_F_32_04_b_REF_AE 3_2_1_0040,,0040,,,AE_REF_F_32.04.b_REF_AE 3.2_1_0030.AE_REF_F_32.04.b_REF_AE 3.2_1_0040.,AE_REF_F_32_04_b_REF_AE 3_2_1,,Of which: collateral received re-used,
AE_REF_F_32_04_b_REF_AE 3_2_1_0050,,0050,,,AE_REF_F_32.04.b_REF_AE 3.2_1_0030.AE_REF_F_32.04.b_REF_AE 3.2_1_0050.,AE_REF_F_32_04_b_REF_AE 3_2_1,,Of which: own debt securities encumbered,
AE_REF_F_32_04_b_REF_AE 3_2_2_0010,,0010,,,AE_REF_F_32.04.b_REF_AE 3.2_2_0010.,AE_REF_F_32_04_b_REF_AE 3_2_2,,Carrying amount of selected financial liabilities,
AE_REF_F_32_04_b_REF_AE 3_2_2_0020,,0020,,,AE_REF_F_32.04.b_REF_AE 3.2_2_0010.AE_REF_F_32.04.b_REF_AE 3.2_2_0020.,AE_REF_F_32_04_b_REF_AE 3_2_2,,Derivatives,
AE_REF_F_32_04_b_REF_AE 3_2_2_0030,,0030,,,AE_REF_F_32.04.b_REF_AE 3.2_2_0010.AE_REF_F_32.04.b_REF_AE 3.2_2_0020.AE_REF_F_32.04.b_REF_AE 3.2_2_0030.,AE_REF_F_32_04_b_REF_AE 3_2_2,,Of which: Over-The-Counter,
